Property,Model,Nanofluid_Type,Temperature_C,Concentration_vol,Predicted
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,10.0,0.00625,0.6006112166666694
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,10.5,0.00625,0.6006112166666694
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,11.0,0.00625,0.6006112166666694
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,11.5,0.00625,0.6006112166666694
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,12.0,0.00625,0.6006112166666694
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,12.5,0.00625,0.6006112166666694
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,13.0,0.00625,0.6164968666666717
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,13.5,0.00625,0.6164968666666717
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,14.0,0.00625,0.6164968666666717
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,14.5,0.00625,0.6164968666666717
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,15.0,0.00625,0.6164968666666717
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,15.5,0.00625,0.6165561833333384
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,16.0,0.00625,0.6165561833333384
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,16.5,0.00625,0.6165561833333384
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,17.0,0.00625,0.6165561833333384
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,17.5,0.00625,0.6165561833333384
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,18.0,0.00625,0.6299530166666703
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,18.5,0.00625,0.6299530166666703
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,19.0,0.00625,0.6299530166666703
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,19.5,0.00625,0.6299530166666703
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,20.0,0.00625,0.6299530166666703
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,20.5,0.00625,0.6300126500000036
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,21.0,0.00625,0.6300126500000036
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,21.5,0.00625,0.6300126500000036
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,22.0,0.00625,0.6300126500000036
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,22.5,0.00625,0.6300126500000036
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,23.0,0.00625,0.642708700000004
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,23.5,0.00625,0.642708700000004
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,24.0,0.00625,0.642708700000004
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,24.5,0.00625,0.642708700000004
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,25.0,0.00625,0.642708700000004
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,25.5,0.00625,0.6427778333333373
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,26.0,0.00625,0.6427778333333373
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,26.5,0.00625,0.6427778333333373
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,27.0,0.00625,0.6427778333333373
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,27.5,0.00625,0.6427778333333373
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,28.0,0.00625,0.65396713333333
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,28.5,0.00625,0.65396713333333
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,29.0,0.00625,0.65396713333333
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,29.5,0.00625,0.65396713333333
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,30.0,0.00625,0.65396713333333
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,30.5,0.00625,0.6540351666666634
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,31.0,0.00625,0.6540351666666634
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,31.5,0.00625,0.6540351666666634
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,32.0,0.00625,0.6540351666666634
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,32.5,0.00625,0.6540351666666634
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,33.0,0.00625,0.6638952999999981
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,33.5,0.00625,0.6638952999999981
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,34.0,0.00625,0.6638952999999981
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,34.5,0.00625,0.6638952999999981
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,35.0,0.00625,0.6638952999999981
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,35.5,0.00625,0.6641323499999984
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,36.0,0.00625,0.6641323499999984
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,36.5,0.00625,0.6641323499999984
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,37.0,0.00625,0.6641323499999984
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,37.5,0.00625,0.6641323499999984
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,38.0,0.00625,0.6742029500000051
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,38.5,0.00625,0.6742029500000051
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,39.0,0.00625,0.6742029500000051
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,39.5,0.00625,0.6742029500000051
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,40.0,0.00625,0.6742029500000051
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,40.5,0.00625,0.6745269166666717
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,41.0,0.00625,0.6745269166666717
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,41.5,0.00625,0.6745269166666717
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,42.0,0.00625,0.6745269166666717
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,42.5,0.00625,0.6745269166666717
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,43.0,0.00625,0.6859644666666633
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,43.5,0.00625,0.6859644666666633
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,44.0,0.00625,0.6859644666666633
Thermal Conductivity,RF,Fe3O4-Al2O3-TiO2,44.5,0.00625,0.6859644666666633
